PassengerId,Ticket,Pclass,Cabin,Embarked,Fare
1,A/5 21171,3,,S,7.25
2,PC 17599,1,C85,C,71.2833
3,STON/O2. 3101282,3,,S,7.925
4,113803,1,C123,S,53.1
5,373450,3,,S,8.05
6,330877,3,,Q,8.4583
7,17463,1,E46,S,51.8625
8,349909,3,,S,21.075
9,347742,3,,S,11.1333
10,237736,2,,C,30.0708
11,PP 9549,3,G6,S,16.7
12,113783,1,C103,S,26.55
13,A/5. 2151,3,,S,8.05
14,347082,3,,S,31.275
15,350406,3,,S,7.8542
16,248706,2,,S,16
17,382652,3,,Q,29.125
18,244373,2,,S,13
19,345763,3,,S,18
20,2649,3,,C,7.225
21,239865,2,,S,26
22,248698,2,D56,S,13
23,330923,3,,Q,8.0292
24,113788,1,A6,S,35.5
25,349909,3,,S,21.075
26,347077,3,,S,31.3875
27,2631,3,,C,7.225
28,19950,1,C23 C25 C27,S,263
29,330959,3,,Q,7.8792
30,349216,3,,S,7.8958
31,PC 17601,1,,C,27.7208
32,PC 17569,1,B78,C,146.5208
33,335677,3,,Q,7.75
34,C.A. 24579,2,,S,10.5
35,PC 17604,1,,C,82.1708
36,113789,1,,S,52
37,2677,3,,C,7.2292
38,A./5. 2152,3,,S,8.05
39,345764,3,,S,18
40,2651,3,,C,11.2417
41,7546,3,,S,9.475
42,11668,2,,S,21
43,349253,3,,C,7.8958
44,SC/Paris 2123,2,,C,41.5792
45,330958,3,,Q,7.8792
46,S.C./A.4. 23567,3,,S,8.05
47,370371,3,,Q,15.5
48,14311,3,,Q,7.75
49,2662,3,,C,21.6792
50,349237,3,,S,17.8
51,3101295,3,,S,39.6875
52,A/4. 39886,3,,S,7.8
53,PC 17572,1,D33,C,76.7292
54,2926,2,,S,26
55,113509,1,B30,C,61.9792
56,19947,1,C52,S,35.5
57,C.A. 31026,2,,S,10.5
58,2697,3,,C,7.2292
59,C.A. 34651,2,,S,27.75
60,CA 2144,3,,S,46.9
61,2669,3,,C,7.2292
62,113572,1,B28,,80
63,36973,1,C83,S,83.475
64,347088,3,,S,27.9
65,PC 17605,1,,C,27.7208
66,2661,3,,C,15.2458
67,C.A. 29395,2,F33,S,10.5
68,S.P. 3464,3,,S,8.1583
69,3101281,3,,S,7.925
70,315151,3,,S,8.6625
71,C.A. 33111,2,,S,10.5
72,CA 2144,3,,S,46.9
73,S.O.C. 14879,2,,S,73.5
74,2680,3,,C,14.4542
75,1601,3,,S,56.4958
76,348123,3,F G73,S,7.65
77,349208,3,,S,7.8958
78,374746,3,,S,8.05
79,248738,2,,S,29
80,364516,3,,S,12.475
81,345767,3,,S,9
82,345779,3,,S,9.5
83,330932,3,,Q,7.7875
84,113059,1,,S,47.1
85,SO/C 14885,2,,S,10.5
86,3101278,3,,S,15.85
87,W./C. 6608,3,,S,34.375
88,SOTON/OQ 392086,3,,S,8.05
89,19950,1,C23 C25 C27,S,263
90,343275,3,,S,8.05
91,343276,3,,S,8.05
92,347466,3,,S,7.8542
93,W.E.P. 5734,1,E31,S,61.175
94,C.A. 2315,3,,S,20.575
95,364500,3,,S,7.25
96,374910,3,,S,8.05
97,PC 17754,1,A5,C,34.6542
98,PC 17759,1,D10 D12,C,63.3583
99,231919,2,,S,23
100,244367,2,,S,26
101,349245,3,,S,7.8958
102,349215,3,,S,7.8958
103,35281,1,D26,S,77.2875
104,7540,3,,S,8.6542
105,3101276,3,,S,7.925
106,349207,3,,S,7.8958
107,343120,3,,S,7.65
108,312991,3,,S,7.775
109,349249,3,,S,7.8958
110,371110,3,,Q,24.15
111,110465,1,C110,S,52
112,2665,3,,C,14.4542
113,324669,3,,S,8.05
114,4136,3,,S,9.825
115,2627,3,,C,14.4583
116,STON/O 2. 3101294,3,,S,7.925
117,370369,3,,Q,7.75
118,11668,2,,S,21
119,PC 17558,1,B58 B60,C,247.5208
120,347082,3,,S,31.275
121,S.O.C. 14879,2,,S,73.5
122,A4. 54510,3,,S,8.05
123,237736,2,,C,30.0708
124,27267,2,E101,S,13
125,35281,1,D26,S,77.2875
126,2651,3,,C,11.2417
127,370372,3,,Q,7.75
128,C 17369,3,,S,7.1417
129,2668,3,F E69,C,22.3583
130,347061,3,,S,6.975
131,349241,3,,C,7.8958
132,SOTON/O.Q. 3101307,3,,S,7.05
133,A/5. 3337,3,,S,14.5
134,228414,2,,S,26
135,C.A. 29178,2,,S,13
136,SC/PARIS 2133,2,,C,15.0458
137,11752,1,D47,S,26.2833
138,113803,1,C123,S,53.1
139,7534,3,,S,9.2167
140,PC 17593,1,B86,C,79.2
141,2678,3,,C,15.2458
142,347081,3,,S,7.75
